N_PFlossR_2kiw,N_PFlossR_2ktw,N_PFlossR_2kmw,PFResident_lossR,PFDaynight_lossR,PFAB5k_NOR,PFABC_NOR
,-0.545949392024192,0.0,,,0.959591377245975,0.0013179124938868
,-0.545949392024192,0.0,,,0.961643200021342,0.0014524668543835
,-0.545949392024192,0.0,,,0.963388656238347,0.0015899635281861
,-0.545949392024192,0.0,,,0.964891526693924,0.0017305745404191
,-0.545949392024192,0.0,,,0.96620236048341,0.0018738584100885
,-0.545949392024192,0.0,,,0.967212140642249,0.0020209541507465
,-0.545949392024192,0.0,,,0.968136674743528,0.0021315197159556
,-0.545949392024192,0.0,,,0.969063650387233,0.0022802538766694
,-0.545949392024192,0.0,,,0.971834103694278,0.0024179911592227
,-0.545949392024192,0.0,,,0.973004702635841,0.0025598210177046
,-0.545949392024192,0.0,,,0.973985212240584,0.0026993009452607
,-0.545949392024192,0.0,,,0.974824009977939,0.0028355505704761
,-0.545949392024192,0.0,,,0.97553136414052,0.002969578401942
,-0.545949392024192,0.0,,,0.97615850618367,0.0030987870878678
,-0.545949392024192,0.0,,,0.976768619276341,0.003227697662717
,-0.545949392024192,0.0,,,0.977350228420226,0.0033640877183383
,-0.545949392024192,0.0,,,0.977885085594419,0.003508028624629
,-0.545949392024192,0.0,,,0.978386191919338,0.0036539253568102
,-0.604397645065869,0.0,,,0.981497389910735,0.0037697366882978
,-0.604397645065869,0.0,,,0.980745895363716,0.0050688237599033
,-0.604397645065869,0.0,,,0.980835979226422,0.005194031803524
,-0.604397645065869,0.0,,,0.980876693495127,0.0053345329643417
,-0.604397645065869,0.0,,,0.980935925038248,0.0054601565920837
,-0.604397645065869,0.0,,,0.980943470154613,0.0056103445624172
,-0.604397645065869,0.0,,,0.98096589901806,0.0057471991307601
,-0.604397645065869,0.0,,,0.980990880016277,0.0058810246054067
,-0.604397645065869,0.0,,,0.981046503166102,0.006011492349753
,-0.604397645065869,0.0,,,0.98108507011157,0.006164680350772
,-0.604397645065869,0.0,,,0.981125963353347,0.0063189323883129
,-0.604397645065869,0.0,,,0.981156659998998,0.00647284401745
,-0.604397645065869,0.0,,,0.981172243381243,0.0066146900647553
,-0.604397645065869,0.0,,,0.999283212170311,0.0064178337515842
,-0.604397645065869,0.0,,,1.0,0.0065740814491516
,1.0,1.0,,,1.0,0.0066902992550855
,-0.666937411432173,-0.985294117647059,,,0.995074724693435,0.156726407879635
,-0.666937411432173,-0.985294117647059,,,0.997832084940641,0.154833577508665
,-0.666937411432173,-0.985294117647059,,,0.998064575551621,0.154664374139311
,-0.666937411432173,-0.985294117647059,,,0.998522464768398,0.154255289523681
,-0.666937411432173,-0.985714285714286,,,0.999238775740656,0.153647977736971
,-0.666937411432173,-0.985915492957746,,,1.0,0.153088399272612
,1.0,1.0,,,1.0,0.152351375202615
,1.0,1.0,,,1.0,0.151047235634854
,1.0,1.0,,,1.0,0.151006235530338
0.0,-0.406064562236747,-0.529880478087649,0.0,-0.376389918458117,0.988323586775064,0.226918237506925
0.0,-0.399638646476849,-0.51394422310757,0.0,-0.289378350963628,0.985861655276058,0.226168677689428
0.0,-0.399638646476849,-0.51004016064257,0.0,-0.289378350963628,0.981779715310502,0.226975194420436
0.0,-0.399638646476849,-0.504032258064516,0.0,-0.289378350963628,0.980296498235675,0.226804840431334
0.0,-0.399638646476849,-0.493877551020408,0.0,-0.272926062593959,0.978450806136238,0.226786463891685
0.0,-0.287419607056337,-0.338624338624339,0.0,-0.268666756356787,0.938096537299085,0.0705571886872261
0.0,-0.287419607056337,-0.342105263157895,0.0,-0.268666756356787,0.940197104374187,0.0708740776832183
0.0,-0.347000219057485,-0.380710659898477,0.0,-0.268666756356787,0.942661868758998,0.0711581777654926
0.0,-0.347000219057485,-0.386934673366834,0.0,-0.268666756356787,0.944906885178962,0.0715479085953176
0.0,-0.347000219057485,-0.413461538461538,0.0,-0.272926062593959,0.946906608249727,0.0719712695094988
0.0,-0.347000219057485,-0.424528301886792,0.0,-0.272926062593959,0.922195352253236,0.157533024404015
0.0,-0.377232168130985,-0.432558139534884,0.0,-0.289378350963628,0.921127518772946,0.159488477678427
0.0,-0.399638646476849,-0.440366972477064,0.0,-0.289378350963628,0.921141886283274,0.159820985029484
0.0,-0.399638646476849,-0.456140350877193,0.0,-0.289378350963628,0.924119817913379,0.159398197688064
0.0,-0.399638646476849,-0.478991596638655,0.0,-0.289378350963628,0.970912458082575,0.150518265273524
0.0,-0.404632219672921,-0.607954545454545,,0.0,0.970004237800188,0.282325944098799
0.0,-0.404632219672921,-0.575581395348837,,0.0,0.967300873010789,0.280449443762702
0.0,-0.385021516176677,-0.517751479289941,,,0.964024337458878,0.279622588618539
0.0,-0.309979558053806,-0.474474474474474,,0.0,0.961380948799445,0.278654302809396
0.0,-0.299092898172752,-0.387878787878788,,0.0,0.958615292399912,0.276885476400387
0.0,-0.191512530944098,-0.332298136645963,,0.0,0.954440440181559,0.275293491637934
0.0,-0.16479855886673,-0.262135922330097,,0.0,0.949193535043803,0.274733831046708
0.0,-0.157645594016943,-0.229773462783172,,0.0,0.944392204607047,0.275309413392121
0.0,-0.139571163307627,-0.211726384364821,,0.0,0.951816167288136,0.21354041336003
0.0,-0.139571163307627,-0.218120805369128,,0.0,0.951445817209038,0.212235685171108
0.0,-0.139571163307627,-0.198653198653199,,0.0,0.950157081735611,0.211936370768587
